tablename	indexname	indexdef
categories	categories_name_key	CREATE UNIQUE INDEX categories_name_key ON public.categories USING btree (name)
categories	categories_pkey	CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id)
logs	idx_logs_action	CREATE INDEX idx_logs_action ON public.logs USING btree (action)
logs	idx_logs_timestamp	CREATE INDEX idx_logs_timestamp ON public.logs USING btree ("timestamp" DESC)
logs	idx_logs_user_id	CREATE INDEX idx_logs_user_id ON public.logs USING btree (user_id)
logs	logs_pkey	CREATE UNIQUE INDEX logs_pkey ON public.logs USING btree (id)
materials	idx_materials_cat	CREATE INDEX idx_materials_cat ON public.materials USING btree (cat)
materials	idx_materials_name	CREATE INDEX idx_materials_name ON public.materials USING btree (name)
materials	idx_materials_qty_low	CREATE INDEX idx_materials_qty_low ON public.materials USING btree (qty, low)
materials	materials_pkey	CREATE UNIQUE INDEX materials_pkey ON public.materials USING btree (id)
project_material_usage	idx_pmu_material_id	CREATE INDEX idx_pmu_material_id ON public.project_material_usage USING btree (material_id)
project_material_usage	idx_pmu_project_id	CREATE INDEX idx_pmu_project_id ON public.project_material_usage USING btree (project_id)
project_material_usage	project_material_usage_pkey	CREATE UNIQUE INDEX project_material_usage_pkey ON public.project_material_usage USING btree (project_id, material_id)
project_schedules	idx_ps_project_id	CREATE INDEX idx_ps_project_id ON public.project_schedules USING btree (project_id)
project_schedules	project_schedules_pkey	CREATE UNIQUE INDEX project_schedules_pkey ON public.project_schedules USING btree (project_id)
projects	idx_projects_budget	CREATE INDEX idx_projects_budget ON public.projects USING btree (budget)
projects	idx_projects_name	CREATE INDEX idx_projects_name ON public.projects USING btree (name)
projects	projects_pkey	CREATE UNIQUE INDEX projects_pkey ON public.projects USING btree (id)
structure_materials	idx_structure_materials_material_id	CREATE INDEX idx_structure_materials_material_id ON public.structure_materials USING btree (material_id)
structure_materials	idx_structure_materials_structure_id	CREATE INDEX idx_structure_materials_structure_id ON public.structure_materials USING btree (structure_id)
structure_materials	structure_materials_pkey	CREATE UNIQUE INDEX structure_materials_pkey ON public.structure_materials USING btree (id)
structure_warehouse	idx_sw_material_id	CREATE INDEX idx_sw_material_id ON public.structure_warehouse USING btree (material_id)
structure_warehouse	structure_warehouse_pkey	CREATE UNIQUE INDEX structure_warehouse_pkey ON public.structure_warehouse USING btree (material_id)
structures	idx_structures_name	CREATE INDEX idx_structures_name ON public.structures USING btree (name)
structures	structures_pkey	CREATE UNIQUE INDEX structures_pkey ON public.structures USING btree (id)
suppliers	idx_suppliers_name	CREATE INDEX idx_suppliers_name ON public.suppliers USING btree (name)
suppliers	idx_suppliers_phone	CREATE INDEX idx_suppliers_phone ON public.suppliers USING btree (phone)
suppliers	suppliers_pkey	CREATE UNIQUE INDEX suppliers_pkey ON public.suppliers USING btree (id)
sw_logs	idx_sw_logs_material_id_created_at	CREATE INDEX idx_sw_logs_material_id_created_at ON public.sw_logs USING btree (material_id, created_at DESC)
sw_logs	sw_logs_pkey	CREATE UNIQUE INDEX sw_logs_pkey ON public.sw_logs USING btree (id)
transactions	idx_transactions_datetime	CREATE INDEX idx_transactions_datetime ON public.transactions USING btree (datetime)
transactions	idx_transactions_mid	CREATE INDEX idx_transactions_mid ON public.transactions USING btree (mid)
transactions	idx_transactions_mid_type	CREATE INDEX idx_transactions_mid_type ON public.transactions USING btree (mid, type)
transactions	idx_transactions_project_id	CREATE INDEX idx_transactions_project_id ON public.transactions USING btree (project_id)
transactions	idx_transactions_supplier_id	CREATE INDEX idx_transactions_supplier_id ON public.transactions USING btree (supplier_id)
transactions	idx_transactions_type	CREATE INDEX idx_transactions_type ON public.transactions USING btree (type)
transactions	idx_transactions_type_datetime	CREATE INDEX idx_transactions_type_datetime ON public.transactions USING btree (type, datetime)
transactions	transactions_pkey	CREATE UNIQUE INDEX transactions_pkey ON public.transactions USING btree (id)
units	units_name_key	CREATE UNIQUE INDEX units_name_key ON public.units USING btree (name)
units	units_pkey	CREATE UNIQUE INDEX units_pkey ON public.units USING btree (id)
users_table	idx_users_username	CREATE INDEX idx_users_username ON public.users_table USING btree (username)
users_table	users_table_pkey	CREATE UNIQUE INDEX users_table_pkey ON public.users_table USING btree (id)
users_table	users_table_username_key	CREATE UNIQUE INDEX users_table_username_key ON public.users_table USING btree (username)
(43 rows)
