month	type	count	total_amount
2023-01	purchase	10	3019555187.69
2023-01	return	1	13371822.00
2023-01	usage	16	1154692956.49
2023-02	purchase	8	2432405906.70
2023-02	return	1	47452444.30
2023-02	usage	17	1279853218.97
2023-03	purchase	12	4372373440.57
2023-03	usage	21	2480102795.23
2023-04	purchase	8	2539716926.02
2023-04	return	1	4171171.90
2023-04	usage	24	2617694047.50
2023-05	purchase	10	2549138700.80
2023-05	usage	24	2196590364.76
2023-06	purchase	11	5717902886.09
2023-06	usage	27	3679349268.02
2023-07	purchase	9	1703263013.42
2023-07	usage	24	1506784987.70
2023-08	purchase	12	5252870630.83
2023-08	usage	23	3685422162.26
2023-09	purchase	10	5762999876.69
2023-09	return	1	15348470.00
2023-09	usage	16	2438227865.75
2023-10	purchase	5	1916073323.37
2023-10	usage	19	2096651816.27
2023-11	purchase	7	1577176519.32
2023-11	return	1	34717178.31
2023-11	usage	24	1874702676.95
2023-12	purchase	11	4122401785.04
2023-12	return	1	146832362.21
2023-12	usage	24	3094920174.56
2024-01	purchase	12	3809495335.54
2024-01	usage	20	2271715759.18
2024-02	purchase	8	2443081143.85
2024-02	usage	20	1648287009.01
2024-03	purchase	8	2933950707.70
2024-03	usage	25	4411686093.85
2024-04	purchase	9	3862617675.62
2024-04	usage	22	3711401409.33
2024-05	purchase	9	3031129212.73
2024-05	usage	25	3091380862.82
2024-06	purchase	11	6177411553.57
2024-06	return	1	111914224.63
2024-06	usage	24	4197351840.96
2024-07	purchase	4	1252286144.57
2024-07	usage	17	1455145230.01
2024-08	purchase	5	1316127730.92
2024-08	usage	19	1936836037.03
2024-09	purchase	8	2968184346.60
2024-09	usage	24	2829239421.33
2024-10	purchase	6	2523810497.63
2024-10	usage	16	1880404907.70
2024-11	purchase	8	2453657395.40
2024-11	usage	20	2318428081.32
2024-12	purchase	8	2162737793.78
2024-12	usage	17	1601804628.75
2025-01	purchase	11	2378357333.59
2025-01	return	1	36027516.04
2025-01	structure_export	3	142000000.00
2025-01	usage	23	1799090070.73
2025-02	purchase	10	3077331433.93
2025-02	return	1	3417375.00
2025-02	structure_export	3	120000000.00
2025-02	usage	18	1529789049.97
2025-03	purchase	7	2742960054.14
2025-03	return	1	91815802.24
2025-03	structure_export	3	173000000.00
2025-03	usage	22	3486491548.53
2025-04	purchase	5	2790177563.60
2025-04	structure_export	3	159750000.00
2025-04	usage	19	2815740694.25
2025-05	purchase	8	2173195995.64
2025-05	return	1	1337814.00
2025-05	structure_export	3	221500000.00
2025-05	usage	21	1746225634.26
2025-06	purchase	10	5631267218.25
2025-06	return	1	124973765.83
2025-06	structure_export	3	217000000.00
2025-06	usage	23	6311762334.73
2025-07	purchase	3	1314580609.98
2025-07	return	1	1768125.00
2025-07	structure_export	2	140500000.00
2025-07	usage	14	1858369255.73
2025-08	purchase	7	2502218535.08
2025-08	structure_export	2	187500000.00
2025-08	usage	18	1830945493.32
2025-09	purchase	3	1460249857.12
2025-09	return	1	51873531.67
2025-09	structure_export	2	109500000.00
2025-09	usage	16	2114888666.11
2025-10	purchase	16	5715734817.45
2025-10	structure_export	2	147750000.00
2025-10	usage	32	3857739102.10
2025-11	purchase	7	2329508265.14
2025-11	structure_export	2	61000000.00
2025-11	usage	22	2387566187.97
2025-12	purchase	8	2590800640.50
2025-12	return	1	9583860.00
2025-12	structure_export	2	90500000.00
2025-12	usage	19	1930989011.10
2026-01	purchase	9	2571852529.35
2026-01	usage	17	1457406864.71
2026-02	purchase	9	4460292205.39
2026-02	usage	26	4846544110.48
2026-03	purchase	9	4777496457.56
2026-03	return	1	164206668.91
2026-03	usage	20	3238475251.69
2026-04	purchase	7	3610265553.71
2026-04	usage	22	3811402619.15
2026-05	purchase	9	12444285279.27
2026-05	return	1	75278485.26
2026-05	transfer_sw	3	0.00
2026-05	usage	15	2427097036.67
(112 rows)
