Ten vat tu,Loai,Don vi,So luong,Don gia,Nguong canh bao,Ghi chu
Vat tu 1,Tam thep,tan,272.07,71331,5,Ghi chu 1
Vat tu 2,Vat tu tieu hao,tan,176.02,77833,5,Ghi chu 2
Vat tu 3,Dam thep,kg,65.93,78543,5,Ghi chu 3
Vat tu 4,Vat tu tieu hao,kg,182.83,61671,5,Ghi chu 4
Vat tu 5,Thep hop,cai,294.84,60294,5,Ghi chu 5
Vat tu 6,Thep hinh,cuon,139.95,76119,5,Ghi chu 6
Vat tu 7,Vat tu tieu hao,tan,16.55,57991,5,Ghi chu 7
Vat tu 8,Tam thep,tan,149.86,69597,5,Ghi chu 8
Vat tu 9,Thep hop,thung,328.11,54966,5,Ghi chu 9
Vat tu 10,Dam thep,tan,72.80,59639,5,Ghi chu 10
Vat tu 11,Thep hop,cuon,37.32,65692,5,Ghi chu 11
Vat tu 12,Thep hinh,kg,180.45,57828,5,Ghi chu 12
Vat tu 13,Thep hop,thung,72.07,66076,5,Ghi chu 13
Vat tu 14,Vat tu tieu hao,met,248.56,82348,5,Ghi chu 14
Vat tu 15,Vat tu tieu hao,tan,180.60,53694,5,Ghi chu 15
Vat tu 16,Bu long - Oc vit,tan,224.44,75268,5,Ghi chu 16
Vat tu 17,Thep hinh,kg,27.91,59801,5,Ghi chu 17
Vat tu 18,Tam thep,cai,313.06,80670,5,Ghi chu 18
Vat tu 19,Ong thep,kg,221.79,58917,5,Ghi chu 19
Vat tu 20,Ong thep,cai,129.40,61191,5,Ghi chu 20
Vat tu 21,Ong thep,met,318.86,50823,5,Ghi chu 21
Vat tu 22,Bu long - Oc vit,tam,164.82,76138,5,Ghi chu 22
Vat tu 23,Thep hinh,cuon,133.81,51762,5,Ghi chu 23
Vat tu 24,Ong thep,met,163.52,68591,5,Ghi chu 24
Vat tu 25,Thep hop,tam,21.35,54857,5,Ghi chu 25
Vat tu 26,Bu long - Oc vit,cai,104.17,50408,5,Ghi chu 26
Vat tu 27,Dam thep,tam,294.83,55100,5,Ghi chu 27
Vat tu 28,Bu long - Oc vit,thung,259.46,53858,5,Ghi chu 28
Vat tu 29,Ong thep,tam,122.36,63882,5,Ghi chu 29
Vat tu 30,Thep hinh,cuon,188.53,65333,5,Ghi chu 30
Vat tu 31,Thep hop,thung,62.32,57788,5,Ghi chu 31
Vat tu 32,Tam thep,thung,16.60,60256,5,Ghi chu 32
Vat tu 33,Thep hinh,tam,58.48,67870,5,Ghi chu 33
Vat tu 34,Ong thep,cuon,146.62,69822,5,Ghi chu 34
Vat tu 35,Vat tu tieu hao,cuon,155.35,82457,5,Ghi chu 35
Vat tu 36,Thep hop,thung,265.29,52367,5,Ghi chu 36
Vat tu 37,Vat tu tieu hao,thung,318.21,61679,5,Ghi chu 37
Vat tu 38,Ong thep,tam,235.67,50750,5,Ghi chu 38
Vat tu 39,Bu long - Oc vit,kg,110.12,66734,5,Ghi chu 39
Vat tu 40,Ong thep,kg,318.60,71912,5,Ghi chu 40
Vat tu 41,Tam thep,tan,28.07,51821,5,Ghi chu 41
Vat tu 42,Ong thep,cuon,287.77,58326,5,Ghi chu 42
Vat tu 43,Thep hinh,cuon,122.03,81511,5,Ghi chu 43
Vat tu 44,Vat tu tieu hao,tam,69.78,53516,5,Ghi chu 44
Vat tu 45,Thep hinh,cuon,55.51,77817,5,Ghi chu 45
Vat tu 46,Ong thep,tam,60.21,66108,5,Ghi chu 46
Vat tu 47,Tam thep,tam,42.23,81768,5,Ghi chu 47
Vat tu 48,Thep hinh,cai,168.82,50233,5,Ghi chu 48
Vat tu 49,Thep goc,thung,109.61,54407,5,Ghi chu 49
Vat tu 50,Vat tu tieu hao,met,90.93,74618,5,Ghi chu 50
Vat tu 51,Vat tu tieu hao,thung,35.96,81080,5,Ghi chu 51
Vat tu 52,Bu long - Oc vit,thung,25.16,67174,5,Ghi chu 52
Vat tu 53,Dam thep,met,20.31,77523,5,Ghi chu 53
Vat tu 54,Dam thep,cuon,176.97,73574,5,Ghi chu 54
Vat tu 55,Dam thep,thung,39.27,50041,5,Ghi chu 55
Vat tu 56,Bu long - Oc vit,thung,159.81,76955,5,Ghi chu 56
Vat tu 57,Ong thep,thung,291.12,66717,5,Ghi chu 57
Vat tu 58,Bu long - Oc vit,tan,316.38,68654,5,Ghi chu 58
Vat tu 59,Tam thep,cuon,288.40,63890,5,Ghi chu 59
Vat tu 60,Thep goc,cai,62.20,52580,5,Ghi chu 60
Vat tu 61,Thep goc,met,235.35,76848,5,Ghi chu 61
Vat tu 62,Thep goc,tam,320.09,76152,5,Ghi chu 62
Vat tu 63,Tam thep,tam,289.80,74546,5,Ghi chu 63
Vat tu 64,Bu long - Oc vit,thung,18.79,73201,5,Ghi chu 64
Vat tu 65,Vat tu tieu hao,tam,101.38,66255,5,Ghi chu 65
Vat tu 66,Tam thep,tam,219.97,59151,5,Ghi chu 66
Vat tu 67,Vat tu tieu hao,kg,193.44,58717,5,Ghi chu 67
